id,original,translation
1,Bill of Quantities,工程量清单
2,Owner     บริษัท เอเชี� ยน อะไลอันซ์ อินเตอร์เนชั�นแนล จํากัด (มหาชน),业主 亚洲联盟国际公众有限公司
3,Contractor  บริษัท เฟอร์ คอนสตรัคชั�น จํากัด,承包商 菲尔建筑工程有限公司
4,Date ;  20/4/69,日期；20/4/69
5,No.95/8 Village No.1 District Khlongnueng Amphoe Klongluang Pathum Thani 12120,95/8号 1村 空能县 空銮区 巴吞他尼府 12120
6,Contractor       บริษัท เฟอร์ คอนสตรัคชั่น จํากัด                                                                                              Date :     20-04-69,承包商 菲尔建筑工程有限公司
7,UNIT RATE,单价
8,TOTAL COST,总价
9,PRELIMINARY WORK,准备工作
10,STRUCTURAL WORK,结构工程
11,ARCHITECTURAL AND EXTERNAL WORK,建筑及室外工程
12,ELECTRICAL WORK,电气工程
13,AIR CONDITION AND VENTILATION WORK,空调及通风工程
14,SANITARY WORK,给排水工程
15,FIRE PROTEC WORK,消防工程
16,SUB TOTAL (A - H),小计 (A - H)
17,OVERHEAD & PROFIT %,管理费及利润 %
18,VAT 7%,增值税 7%
19,GRAND TOTAL,总计
20,เลขที่ 95/8 หมู่ 1 ต.คลองหนึ่ง อ .คลองหลวง จ .ปทุมธานี 12120 (สํานักงานใหญ่),编号 95/8 村1 空能县 空銮区 巴吞他尼府 12120（总部）
21,Contractor        บริษัท เฟอร์ คอนสตรัคชั่น จํากัด                                                                                                  Date :    20-04-69,承包商 菲尔建筑工程有限公司
22,Unit Rate,单价
23,"ขออนุญาตก่อสร้างเปลี่ยนรูปแบบอาคาร,เปลี่ยนสถาปนิกวิศวกรผู้คุมงาน ,ขออนุญาตเปิดใช้อาคารและที่เกี่ยวข้อง",申请变更建筑形式施工许可、更换监理建筑师工程师、申请启用建筑及相关许可
24,"Cleaning up construction debris and waste,and cleaning the construction site.",清理建筑垃圾和废料，并清洁施工现场。
25,ห้ามแทรกบันทัด กรณีไม่พอให้ใปใส่ใน หมวด E,禁止插入行 如空间不足请填入 E 类
26,TOTAL FOR PRELIMINARY WORK,准备工作合计
27,Contractor        บริษัท เฟอร์ คอนสตรัคชั่น จํากัด                                                                                           Date :    20-04-69,承包商 菲尔建筑工程有限公司
28,LAND FILL,填方
29,PILING WORK,桩基工程
30,EXCAVATION & FOOTING WORK,土方开挖及基础工程
31,"SLAB, BEAM ,COLUMN , WALL, RAMP,STAIR",板、梁、柱、墙、坡道、楼梯
32,STRUCTURAL STEEL AND ROOF STRUCTURE,钢结构及屋面结构
33,Other items,其他项目
34,ADDITION WORK,附加工程
35,TOTAL B STRUCTURAL WORK,结构工程合计 B
36,Sub Grade filled with Compaction & test as specify in Drawing,路基填筑压实及检测 按图纸要求
37,Sub Base filled with Compaction & test as specify in Drawing,基层填筑压实及检测 按图纸要求
38,ห้ามแทรกบันทัด กรณีไม่พอให้ใปใส่ใน หมวด C,禁止插入行 如空间不足请填入 C 类
39,TOTAL B1 LAND FILL,合计 B1 填方
40,เสาเข็มคอนกรีตอัดเเรง สี่เหลี่ยมตัน ขนาด 0.35 m ยาว 26.00 m.รับน้ําหนักปลอดภัย 50 ตัน/ต้น,预应力混凝土方桩 规格0.35米 长26.00米 安全承载力50吨/根
41,Dynamic load test,动力荷载试验
42,Seismic test,声波完整性检测
43,TOTAL B2 PILING WORK,合计 B2 桩基工程
44,EXCAVATION WORK,土方开挖
45,"Excavation of the soil, making foundations",地基土方开挖
46,Soil filling works to make foundations.,地基回填土
47,PILE HEAD CUTTING,截桩头
48,เสาเข็มคอนกรีตอัดเเรง สี่เหลี่ยมตัน ขนาด 0.35 m,预应力混凝土方桩 规格0.35米
49,FOOTING WORK,基础工程
50,COMPACTED SAND,夯实砂层
51,LEAN CONCRETE,素混凝土垫层
52,CONCRETEโครงสร้าง 280 กก ./ตร . ซม .(ทรงกระบอกที่28วัน),结构混凝土 280公斤/平方厘米（28天圆柱体）
53,Steel binding wire,钢筋绑扎丝
54,TOTAL B 3.1-3.3 FOOTING WORK,合计 B3.1-3.3 基础工程
55,TOTAL B 3 EXCAVATION & FOOTING WORKS,合计 B3 土方开挖及基础工程
56,PLASTIC SHEET 0.2 MM. 1 LAYAR,塑料薄膜 0.2毫米 1层
57,TOTAL B 4.1 SLAB,合计 B4.1 板
58,TOTAL B 4.2 BEAM,合计 B4.2 梁
59,RC COLUMN,钢筋混凝土柱
60,TOTAL B 4.3 COLUMN,合计 B4.3 柱
61,RC WALL,钢筋混凝土墙
62,CONCRETEโครงสร้าง 280 กก ./ตร . ซม .(ทรงกระบอกที่28วัน ผสมน้ํายากันซึม),结构混凝土 280公斤/平方厘米（28天圆柱体 掺防水剂）
63,"WATERSTOP 8""",止水带 8英寸
64,TOTAL B 4.4 RC WALL,合计 B4.4 钢筋混凝土墙
65,"Stairs ST1,ST3,RAMP",楼梯 ST1、ST3、坡道
66,TOTAL B 6.2 stairs,合计 B6.2 楼梯
67,"TOTAL B4 SLAB, BEAM ,COLUMN , WALL, RAMP,STAIR",合计 B4 板、梁、柱、墙、坡道、楼梯
68,H-BEAM - 300 x 300 (94 kg/m),H型钢 - 300x300（94公斤/米）
69,I-BEAM - 600 x 190 (133.0 kg/m),工字钢 - 600x190（133.0公斤/米）
70,I-BEAM - 450 x 175 (91.7 kg/m),工字钢 - 450x175（91.7公斤/米）
71,H-BEAM - 200 x 200 (49.9 kg/m),H型钢 - 200x200（49.9公斤/米）
72,STEEL PLATE JOINT,钢板连接件
73,I-BEAM - 400 x 150 (95.8 kg/m),工字钢 - 400x150（95.8公斤/米）
74,C - Light Lip Channel - 125 x 50 x 20 x 3.2,C型轻质卷边槽钢 - 125x50x20x3.2
75,H-BEAM - 150 x 150 (31.5 kg/m),H型钢 - 150x150（31.5公斤/米）
76,Rectangular Tube - 100 x 50 x 2.3,矩形管 - 100x50x2.3
77,CHANNEL - 250 x 90 x 9 (34.6 kg/m),槽钢 - 250x90x9（34.6公斤/米）
78,Checkered Plate - H-4.5,花纹钢板 - H-4.5
79,TOTAL B 5 STRUCTURAL STEEL AND ROOF STRUCTURE,合计 B5 钢结构及屋面结构
80,CONCRETEโครงสร้าง 280 กก ./ตร . ซม .(ทรงกระบอกที่28วัน ),结构混凝土 280公斤/平方厘米（28天圆柱体）
81,ตัดหัวเสาเข็มคอนกรีตอัดเเรง สี่เหลี่ยมตัน ขนาด 0.35 m,截预应力混凝土方桩桩头 规格0.35米
82,TOTAL B11 Other items,合计 B11 其他项目
83,Anchor Bolt M20,地脚螺栓 M20
84,Expansion Bolt M20,膨胀螺栓 M20
85,Pipe 76.3x2.8 mm + PL250x250x15 mm + 2Y12x0.85 mm,钢管76.3x2.8毫米 + 钢板250x250x15毫米 + 2Y12x0.85毫米
86,Gutter L50x50x5 mm ( 3.77 kg / m ),角钢天沟 L50x50x5毫米（3.77公斤/米）
87,TOTAL ADDITION WORK,附加工程合计
88,Contractor         บริษัท เฟอร์ คอนสตรัคชั่น จํากัด                                                                                                        Date :    20-04-69,承包商 菲尔建筑工程有限公司
89,ARCHITECTURAL WORK,建筑工程
90,ROOF FINISHING & SIDING WORK,屋面及墙面工程
91,WALL & PARTITION,墙及隔断
92,FLOOR FINISHING & BASE,地面及踢脚线
93,Ceiling work,吊顶工程
94,DOORS & WINDOWS,门窗
95,SANITARY FIXTURE,卫生洁具
96,"STAIR WORK,ราวกันตกและราวกันชน , รางน้ํา ,บ่อ Sumppit",楼梯工程、护栏及防撞栏、排水沟、集水坑
97,EXTERNAL WORK,室外工程
98,TOTAL C ARCHITECTURAL WORK,合计 C 建筑工程
99,Stanless Steel Gutter #22,不锈钢天沟 #22
100,TOTAL C1 ROOF FINISHING & SIDING WORK,合计 C1 屋面及墙面工程
101,ผนัง คสล . กันดินชั้น1 ทําระบบกันซึม Waterproof Membrane ปิดทับด้วยแผ่นสมาทบร์อด หนา 15 มม .,钢筋混凝土挡土墙 地下一层 做防水卷材防水系统 覆盖15毫米厚水泥板
102,"ผนัง คสล . ที่เก็บน้ํา,บ่อน้ํา ภายในแต่งผิวเรียบฉาบทําระบบซีเมนต์กันซึมและป้องกันความชื้น",钢筋混凝土蓄水池、水池 内部抹平做水泥基防水防潮系统
103,"ผนังภายนอกรอบอาคาร ,ห้องเย็นให้ใช้อิฐมวลเบาความหนา 15 ซม .",建筑外围墙、冷库采用加气混凝土砌块 厚度15厘米
104,ผนังอิฐมวลเบาคามหนา 7.5ซม . งานผนังกันห้องภายในอาคาร,加气混凝土砌块墙 厚度7.5厘米 建筑内部隔墙
105,"ผนัง3 ผนังและโครงสร้างภายใน ชั้น 1,ชั้น2,ชั้น3 ฉาบปูนเรียบ ทําผิว TOA สกิมโค้ท",墙3 1层、2层、3层内部墙体及结构水泥砂浆抹平 TOA斯金科表面处理
106,ผนัง4 กรุกระเบื้อง COTTO ลูน่ากลอสไวท์ ขนาด 0.20x0.30 ม . กรุสุง2.40ม . มีเส้นPVCโดยรอบ,墙4 铺贴COTTO Luna Gloss White瓷砖 规格0.20x0.30米 铺贴高度2.40米 四周配PVC收边条
107,"ผนัง7 ผนังและประตูห้องน้ําWall-Int Hight Presure Laminate (HPL) หนา 10 มม . รวมอุปกรณ์ผนัง,ประตู",墙7 卫生间墙体和门 Wall-Int高压装饰板（HPL）厚度10毫米 含墙面配件及门
108,ผนัง8 ผนังและโครงสร้างเตรียมผิวเรียบ เพื่อติดตั้งผนังห้องทําความเย็น ความหนา 0.25ม .,墙8 墙体及结构预留平整表面 用于安装冷库墙板 厚度0.25米
109,เสาเอ็นทับหลัง คสล .,钢筋混凝土构造柱及过梁
110,TOTAL C2 WALL & PARTITION,合计 C2 墙及隔断
111,พื้น คสล . ทําระบบกันซึมก่อนเทคอนกรีตพื้นโครงสร้าง,钢筋混凝土板 结构板浇筑前做防水系统
